hwWlanApMac,hwWlanApSn,hwWlanApTypeInfo,hwWlanApName,hwWlanApGroup,hwWlanApRunState,hwWlanApSoftwareVersion,group_id
,2102354DKSW0MC000377,AirEngine5761R-11,GuangXi_SL_FJ07_D_WT15507,广西-首龙风电场2004,11,V200R022C00SPC100,1422
,2102354DKSW0MC000397,AirEngine5761R-11,GuangXi_SL_FJ04_D_WT15509,广西-首龙风电场2004,11,V200R022C00SPC100,1422
,2102354DKSW0P3001233,AirEngine5761R-11,GuangXi_BJS_A04_U_WT15358,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001287,AirEngine5761R-11,GuangXi_BJS_A19_U_WT15343,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001294,AirEngine5761R-11,GuangXi_BJS_A14_D_WT15348,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001295,AirEngine5761R-11,GuangXi_BJS_A11_D_WT15351,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001296,AirEngine5761R-11,GuangXi_BLL_FJ12_U_WT15330,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001297,AirEngine5761R-11,GuangXi_BLL_FJ03_U_WT15339,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001298,AirEngine5761R-11,GuangXi_BJS_A15_D_WT15347,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001299,AirEngine5761R-11,GuangXi_BJS_A05_D_WT15357,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001302,AirEngine5761R-11,GuangXi_BJS_A08_D_WT15354,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001303,AirEngine5761R-11,GuangXi_BJS_A03_D_WT15359,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001305,AirEngine5761R-11,GuangXi_BLL_FJ01_U_WT15341,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001306,AirEngine5761R-11,GuangXi_BJS_A09_U_WT15353,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001311,AirEngine5761R-11,GuangXi_BJS_A05_U_WT15357,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001315,AirEngine5761R-11,GuangXi_BJS_A01_U_WT15361,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001320,AirEngine5761R-11,GuangXi_BLL_FJ06_U_WT15336,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001321,AirEngine5761R-11,GuangXi_BLL_FJ07_U_WT15335,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001323,AirEngine5761R-11,GuangXi_BJS_A09_D_WT15353,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001324,AirEngine5761R-11,GuangXi_BLL_FJ05_D_WT15328,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001327,AirEngine5761R-11,GuangXi_BLL_FJ13_D_WT15329,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001331,AirEngine5761R-11,GuangXi_BJS_A06_U_WT15356,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001333,AirEngine5761R-11,GuangXi_BLL_FJ04_D_WT15338,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001335,AirEngine5761R-11,GuangXi_BLL_FJ09_U_WT15333,广西-百龙岭风电场2007,11,V200R022C00SPC100,1428
,2102354DKSW0P3001337,AirEngine5761R-11,GuangXi_BJS_A13_D_WT15349,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001338,AirEngine5761R-11,GuangXi_BJS_A02_U_WT15360,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001341,AirEngine5761R-11,GuangXi_BJS_A10_D_WT15352,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001342,AirEngine5761R-11,GuangXi_BJS_A01_D_WT15361,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001350,AirEngine5761R-11,GuangXi_BJS_A04_D_WT15358,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001351,AirEngine5761R-11,GuangXi_BJS_A07_D_WT15355,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001352,AirEngine5761R-11,GuangXi_BJS_A18_U_WT15344,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
,2102354DKSW0P3001353,AirEngine5761R-11,GuangXi_BJS_A17_U_WT15345,广西-笔架山风电场2003,11,V200R022C00SPC100,1424
